응답ID,부서,직급,Q1_전반만족도(1-5),Q2_업무도움정도(1-5),Q3_사용빈도(1-5),Q4_교육필요성(1-5),자유응답
R084,연구기획,차장,3,2,1,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R085,마케팅,과장,2,2,3,5,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R086,임상개발,대리,4,5,4,4,번역 품질이 생각보다 좋아요
R087,연구기획,차장,4,3,3,4,번역 품질이 생각보다 좋아요
R088,임상개발,대리,4,4,4,4,보고서 초안 잡을 때 제일 많이 씁니다
R089,임상개발,대리,4,3,2,5,요약 기능은 만족합니다
R090,사업개발,차장,3,2,3,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R091,사업개발,차장,3,4,1,3,요약 기능은 만족합니다
R092,연구기획,사원,3,3,3,3,영어 메일 쓸 때 유용해요
R093,임상개발,팀장,5,5,5,5,검색보다 빠르게 개념 파악할 때 좋습니다
R094,경영지원,대리,2,1,1,4,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R095,R&D전략,대리,3,3,2,5,영어 메일 쓸 때 유용해요
R096,임상개발,과장,5,5,3,4,
R097,경영지원,대리,3,3,3,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R098,R&D전략,대리,4,4,3,3,영어 메일 쓸 때 유용해요
R099,경영지원,차장,2,1,3,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R100,경영지원,과장,3,2,1,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R101,마케팅,사원,3,3,1,4,보고서 초안 잡을 때 제일 많이 씁니다
R102,마케팅,차장,2,3,2,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R103,임상개발,과장,3,4,3,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R104,경영지원,차장,2,3,3,4,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R105,임상개발,사원,1,1,1,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R106,R&D전략,대리,3,2,4,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R107,마케팅,대리,5,4,4,4,
R108,경영지원,팀장,3,4,1,3,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R109,연구기획,사원,2,1,3,3,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R110,경영지원,과장,3,4,3,5,영어 메일 쓸 때 유용해요
R111,연구기획,차장,5,5,5,5,
R112,마케팅,과장,4,4,5,4,보고서 초안 잡을 때 제일 많이 씁니다
R113,사업개발,팀장,2,2,3,4,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R114,경영지원,대리,4,5,4,4,
R115,경영지원,차장,4,3,4,5,
R116,마케팅,과장,4,3,3,5,
R117,사업개발,대리,3,4,1,4,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R118,경영지원,팀장,4,5,2,4,번역 품질이 생각보다 좋아요
R119,경영지원,과장,4,3,2,4,
R120,연구기획,과장,1,1,1,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R121,임상개발,차장,1,1,1,4,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R122,마케팅,차장,5,5,4,3,영어 메일 쓸 때 유용해요
R123,경영지원,과장,4,4,3,5,
R124,사업개발,과장,3,3,2,3,
R125,임상개발,대리,2,3,2,5,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R126,임상개발,팀장,3,3,4,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R127,마케팅,사원,4,5,4,3,회의록 정리 시간이 확실히 줄었어요
R128,임상개발,대리,3,3,2,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R129,임상개발,차장,2,2,1,3,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R130,경영지원,차장,4,3,4,4,영어 메일 쓸 때 유용해요
R131,사업개발,과장,4,4,3,4,번역 품질이 생각보다 좋아요
R132,연구기획,대리,2,1,3,3,출처를 안 줘서 보고서에 쓰기 애매합니다
R133,R&D전략,과장,3,3,1,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R134,R&D전략,대리,5,5,5,4,번역 품질이 생각보다 좋아요
R135,경영지원,차장,4,3,5,4,검색보다 빠르게 개념 파악할 때 좋습니다
R136,R&D전략,대리,3,3,4,3,회의록 정리 시간이 확실히 줄었어요
R137,사업개발,팀장,2,3,2,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R138,사업개발,과장,2,1,3,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R139,임상개발,사원,4,5,5,4,검색보다 빠르게 개념 파악할 때 좋습니다
R140,임상개발,대리,2,2,1,5,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R141,임상개발,대리,3,3,1,3,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R142,임상개발,대리,2,2,1,4,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R143,임상개발,대리,1,1,1,5,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R144,마케팅,과장,3,2,3,4,영어 메일 쓸 때 유용해요
R145,R&D전략,사원,4,4,5,5,회의록 정리 시간이 확실히 줄었어요
R146,R&D전략,팀장,4,5,3,5,보고서 초안 잡을 때 제일 많이 씁니다
R147,경영지원,사원,3,4,4,5,회의록 정리 시간이 확실히 줄었어요
R148,연구기획,사원,5,4,5,5,보고서 초안 잡을 때 제일 많이 씁니다
R149,마케팅,차장,4,4,5,5,
R150,사업개발,과장,3,4,4,4,검색보다 빠르게 개념 파악할 때 좋습니다
R151,임상개발,과장,3,2,3,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R152,R&D전략,차장,4,3,2,3,
R153,사업개발,과장,4,3,4,3,영어 메일 쓸 때 유용해요
R154,임상개발,과장,3,2,3,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R155,임상개발,팀장,4,5,3,3,영어 메일 쓸 때 유용해요
R156,경영지원,과장,4,5,2,5,검색보다 빠르게 개념 파악할 때 좋습니다
R157,연구기획,대리,4,4,4,3,요약 기능은 만족합니다
R158,경영지원,팀장,5,5,3,3,보고서 초안 잡을 때 제일 많이 씁니다
R159,임상개발,과장,5,5,4,4,
R160,R&D전략,사원,1,1,1,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R161,연구기획,팀장,5,5,5,4,
R162,경영지원,과장,5,5,5,5,보고서 초안 잡을 때 제일 많이 씁니다
R163,연구기획,대리,5,4,4,4,회의록 정리 시간이 확실히 줄었어요
R164,경영지원,차장,2,1,1,5,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R165,경영지원,사원,5,5,3,5,검색보다 빠르게 개념 파악할 때 좋습니다
R166,사업개발,차장,5,5,5,5,보고서 초안 잡을 때 제일 많이 씁니다
R167,사업개발,과장,5,5,4,5,회의록 정리 시간이 확실히 줄었어요
R168,R&D전략,차장,3,4,4,5,검색보다 빠르게 개념 파악할 때 좋습니다
R169,마케팅,사원,2,2,1,3,사내 자료는 못 보니까 반쪽짜리 같아요
R170,R&D전략,대리,4,4,3,4,번역 품질이 생각보다 좋아요
R171,사업개발,팀장,4,3,3,5,영어 메일 쓸 때 유용해요
R172,사업개발,사원,3,3,3,4,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R173,R&D전략,과장,4,3,4,5,요약 기능은 만족합니다
R174,경영지원,사원,3,3,3,3,회의록 정리 시간이 확실히 줄었어요
R175,경영지원,대리,5,4,5,5,
R176,임상개발,사원,5,4,5,3,영어 메일 쓸 때 유용해요
R177,마케팅,팀장,4,4,5,5,회의록 정리 시간이 확실히 줄었어요
R178,임상개발,팀장,4,4,5,5,번역 품질이 생각보다 좋아요
R179,경영지원,차장,4,4,2,5,보고서 초안 잡을 때 제일 많이 씁니다
R180,임상개발,차장,4,3,3,4,번역 품질이 생각보다 좋아요
R181,경영지원,팀장,3,4,3,4,요약 기능은 만족합니다
R182,연구기획,대리,5,4,5,4,번역 품질이 생각보다 좋아요
R183,R&D전략,과장,5,5,4,4,검색보다 빠르게 개념 파악할 때 좋습니다
R184,연구기획,팀장,1,1,1,5,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R185,사업개발,과장,4,4,5,3,영어 메일 쓸 때 유용해요
R186,마케팅,대리,2,2,3,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R187,임상개발,차장,5,5,5,5,검색보다 빠르게 개념 파악할 때 좋습니다
R188,R&D전략,차장,5,5,4,4,영어 메일 쓸 때 유용해요
R189,연구기획,과장,1,1,1,3,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R190,임상개발,사원,4,3,3,5,
R191,임상개발,대리,5,5,5,3,번역 품질이 생각보다 좋아요
R192,임상개발,차장,3,3,2,3,번역 품질이 생각보다 좋아요
R193,R&D전략,사원,2,3,3,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R194,연구기획,과장,4,5,2,4,영어 메일 쓸 때 유용해요
R195,사업개발,팀장,4,5,2,3,
R196,마케팅,과장,4,4,5,3,영어 메일 쓸 때 유용해요
R197,마케팅,팀장,5,4,5,3,영어 메일 쓸 때 유용해요
R198,임상개발,과장,3,4,1,5,
R199,경영지원,사원,2,1,2,4,출처를 안 줘서 보고서에 쓰기 애매합니다
R200,임상개발,대리,2,1,2,5,사내 자료는 못 보니까 반쪽짜리 같아요
